id,nome,partido,uf,genero,email,situacao
825,Paulo Paim,PT,RS,Masculino,sen.paulopaim@senado.leg.br,[object Object]
5502,Plínio Valério,PSDB,AM,Masculino,sen.pliniovalerio@senado.leg.br,[object Object]
5386,Professora Dorinha Seabra,UNIÃO,TO,Feminino,sen.professoradorinhaseabra@senado.leg.br,[object Object]
5012,Randolfe Rodrigues,PT,AP,Masculino,sen.randolferodrigues@senado.leg.br,[object Object]
70,Renan Calheiros,MDB,AL,Masculino,sen.renancalheiros@senado.leg.br,[object Object]
5732,Rodrigo Pacheco,PSD,MG,Masculino,sen.rodrigopacheco@senado.leg.br,[object Object]
4694,Rogerio Marinho,PL,RN,Masculino,sen.rogeriomarinho@senado.leg.br,[object Object]
5352,Rogério Carvalho,PT,SE,Masculino,sen.rogeriocarvalho@senado.leg.br,[object Object]
5322,Romário,PL,RJ,Masculino,sen.romario@senado.leg.br,[object Object]
6331,Sergio Moro,UNIÃO,PR,Masculino,sen.sergiomoro@senado.leg.br,[object Object]
5988,Soraya Thronicke,PODEMOS,MS,Feminino,sen.sorayathronicke@senado.leg.br,[object Object]
5959,Styvenson Valentim,PSDB,RN,Masculino,sen.styvensonvalentim@senado.leg.br,[object Object]
4560,Sérgio Petecão,PSD,AC,Masculino,sen.sergiopetecao@senado.leg.br,[object Object]
6338,Teresa Leitão,PT,PE,Feminino,sen.teresaleitao@senado.leg.br,[object Object]
5736,Tereza Cristina,PP,MS,Feminino,sen.terezacristina@senado.leg.br,[object Object]
5899,Vanderlan Cardoso,PSD,GO,Masculino,sen.vanderlancardoso@senado.leg.br,[object Object]
5748,Veneziano Vital do Rêgo,MDB,PB,Masculino,sen.venezianovitaldorego@senado.leg.br,[object Object]
1173,Wellington Fagundes,PL,MT,Masculino,sen.wellingtonfagundes@senado.leg.br,[object Object]
5411,Weverton,PDT,MA,Masculino,sen.wevertonrocha@senado.leg.br,[object Object]
5070,Wilder Morais,PL,GO,Masculino,sen.wildermorais@senado.leg.br,[object Object]
5783,Zenaide Maia,PSD,RN,Feminino,sen.zenaidemaia@senado.leg.br,[object Object]
3806,Zequinha Marinho,PODEMOS,PA,Masculino,sen.zequinhamarinho@senado.leg.br,[object Object]
